policy_id,age_at_entry,sex,sum_assured,policy_term,duration_mth,premium_pp
MP10000,37,M,160000,30,97,6.95
MP10001,43,F,873000,30,0,55.13
MP10002,36,F,521000,20,0,20.92
MP10003,25,F,978000,15,0,26.42
MP10004,62,M,385000,25,75,161.76
MP10005,49,M,853000,10,0,93.08
MP10006,30,M,190000,20,0,5.98
MP10007,32,F,433000,30,0,14.45
MP10008,28,F,339000,15,0,9.87
MP10009,41,F,437000,20,0,23.85
MP10010,43,M,943000,20,80,61.49
MP10011,26,F,539000,20,19,14.9
MP10012,30,M,584000,15,13,18.37
MP10013,60,M,231000,30,95,77.88
MP10014,36,F,419000,30,23,16.82
MP10015,47,F,766000,10,31,67.16
MP10016,61,M,420000,20,70,158.02
MP10017,54,F,469000,10,0,80.13
MP10018,27,F,976000,25,0,27.66
MP10019,42,F,831000,10,0,48.7
MP10020,61,F,329000,10,0,118.23
MP10021,39,F,703000,30,0,33.59
MP10022,40,F,406000,30,0,20.7
MP10023,30,M,196000,15,0,6.16
MP10024,59,F,424000,15,0,122.55
MP10025,61,M,261000,15,0,98.2
MP10026,50,M,496000,30,0,59.48
MP10027,64,M,806000,10,39,423.18
MP10028,42,M,899000,20,0,54.33
MP10029,49,F,688000,25,81,72.22
MP10030,42,M,773000,25,7,46.72
MP10031,29,M,198000,25,87,6.02
MP10032,53,F,724000,20,0,111.81
MP10033,61,F,870000,25,35,312.65
MP10034,28,F,711000,15,0,20.71
MP10035,33,M,445000,10,0,15.76
MP10036,59,F,238000,10,0,68.79
MP10037,60,M,191000,10,0,64.4
MP10038,63,F,570000,15,0,255.49
MP10039,27,M,975000,30,0,27.94
MP10040,46,M,166000,20,0,13.84
MP10041,39,F,691000,10,0,33.01
MP10042,53,F,733000,25,0,113.2
MP10043,29,M,659000,15,0,20.04
MP10044,52,M,493000,25,0,71.83
MP10045,55,F,749000,20,0,141.79
MP10046,60,M,422000,30,0,142.28
MP10047,50,M,817000,20,0,97.97
MP10048,64,M,883000,30,0,463.6
MP10049,27,M,738000,25,0,21.15
MP10050,39,F,541000,10,0,25.85
MP10051,29,M,912000,10,0,27.73
MP10052,56,M,239000,10,17,52.45
MP10053,38,F,910000,30,31,40.89
MP10054,26,F,997000,30,0,27.56
MP10055,47,M,641000,20,0,58.3
MP10056,55,F,944000,30,0,178.7
MP10057,28,M,408000,30,0,12.03
MP10058,60,M,154000,20,0,51.92
MP10059,58,M,657000,25,70,178.35
MP10060,41,M,198000,15,0,11.13
MP10061,41,M,546000,10,56,30.68
MP10062,32,M,541000,25,106,18.36
MP10063,37,M,516000,30,0,22.41
MP10064,62,F,831000,10,54,333.4
MP10065,51,F,309000,30,61,39.19
MP10066,59,M,751000,20,108,227.1
MP10067,34,M,672000,15,0,24.92
MP10068,55,M,894000,15,0,176.72
MP10069,50,M,626000,30,0,75.07
MP10070,58,M,985000,20,117,267.39
MP10071,36,M,950000,20,113,39.01
MP10072,43,M,145000,30,129,9.45
MP10073,47,M,786000,25,113,71.49
MP10074,30,F,982000,20,78,30.44
MP10075,38,F,604000,25,113,27.14
MP10076,34,F,880000,15,0,32
MP10077,54,F,827000,10,0,141.29
MP10078,55,F,915000,20,0,173.21
MP10079,42,M,946000,10,0,57.17
MP10080,43,F,403000,10,0,25.45
MP10081,62,F,753000,25,0,302.11
MP10082,63,F,330000,20,36,147.92
MP10083,65,F,126000,25,0,70.62
MP10084,34,F,105000,20,0,3.82
MP10085,35,F,956000,30,0,36.47
MP10086,46,M,551000,15,0,45.92
MP10087,65,M,572000,25,0,336
MP10088,48,F,679000,10,25,65.06
MP10089,29,M,247000,25,0,7.51
MP10090,45,F,428000,15,59,31.66
MP10091,48,M,708000,20,47,70.45
MP10092,43,F,182000,10,0,11.49
MP10093,45,M,169000,30,0,12.94
MP10094,33,M,688000,25,139,24.37
MP10095,64,M,440000,25,0,231.01
MP10096,57,M,407000,30,0,99.28
MP10097,25,M,643000,20,32,17.53
MP10098,27,M,805000,20,0,23.07
MP10099,50,M,525000,15,49,62.96
