policy_id,origin_year,dev_period,line,state,age,sex,paid,incurred,settled
P10000,2018,0,marine,NW,20,F,53197,58765,no
P10001,2018,0,motor,KZN,42,F,7449,8769,no
P10002,2018,0,household,KZN,28,M,8273,10236,no
P10003,2018,1,liability,FS,29,M,11085,13501,no
P10004,2018,1,engineering,KZN,25,M,16346,18218,yes
P10005,2018,2,engineering,NC,42,F,65496,79415,no
P10006,2018,2,motor,NC,55,M,10794,13759,no
P10007,2018,2,household,NC,58,M,6012,7314,no
P10008,2018,3,motor,FS,36,F,22599,25903,yes
P10009,2018,3,liability,GP,46,M,66077,75858,yes
P10010,2018,3,liability,NC,73,M,23293,29981,yes
P10011,2018,3,engineering,WC,44,F,6768,8603,yes
P10012,2018,4,engineering,FS,24,M,8493,9813,yes
P10013,2018,4,household,MP,52,F,54098,64543,yes
P10014,2018,4,household,GP,50,M,37002,46712,yes
P10015,2018,5,marine,EC,75,M,79053,86069,yes
P10016,2018,5,engineering,NC,32,F,61256,75075,yes
P10017,2018,6,household,FS,59,F,15504,16603,yes
P10018,2018,6,marine,LP,69,M,7668,8281,no
P10019,2019,0,motor,NC,73,M,3695,4272,yes
P10020,2019,0,liability,NW,39,M,9840,,no
P10021,2019,0,liability,MP,56,M,11149,13133,yes
P10022,2019,0,motor,NW,75,F,14765,18027,no
P10023,2019,1,marine,MP,75,M,8055,9605,yes
P10024,2019,1,engineering,LP,47,M,23211,24602,yes
P10025,2019,1,marine,WC,64,M,4264,5127,no
P10026,2019,2,motor,NC,52,M,13172,16600,yes
P10027,2019,2,motor,NC,30,M,24664,30610,yes
P10028,2019,2,liability,LP,51,F,19135,24631,no
P10029,2019,3,motor,EC,20,M,66988,85056,yes
P10030,2019,3,liability,KZN,30,M,5541,6753,yes
P10031,2019,4,motor,MP,24,F,6354,7171,yes
P10032,2019,4,household,NC,45,F,49069,63606,yes
P10033,2019,4,motor,FS,35,M,60984,78707,yes
P10034,2019,5,engineering,WC,44,F,13495,15274,yes
P10035,2019,5,household,WC,77,F,17176,21849,yes
P10036,2019,5,liability,LP,62,F,69975,81486,yes
P10037,2020,0,motor,EC,69,M,50382,61945,no
P10038,2020,0,engineering,FS,65,F,13452,16040,no
P10039,2020,1,liability,NW,70,M,4780,6040,no
P10040,2020,1,motor,MP,76,M,16292,18866,yes
P10041,2020,2,marine,WC,66,M,55658,66119,yes
P10042,2020,2,household,KZN,65,M,3943,4460,yes
P10043,2020,2,marine,NC,19,F,4876,6091,no
P10044,2020,2,liability,NW,51,F,31610,36704,no
P10045,2020,3,marine,GP,21,M,11092,13225,yes
P10046,2020,3,engineering,MP,66,M,8908,10562,yes
P10047,2020,3,engineering,NW,33,F,50989,56697,no
P10048,2020,3,household,MP,77,F,44299,53868,yes
P10049,2020,4,liability,LP,33,M,7361,9038,yes
P10050,2020,4,marine,FS,33,F,4212,5360,yes
P10051,2020,4,motor,GP,35,M,17115,21243,no
P10052,2021,0,marine,FS,50,F,54348,64710,yes
P10053,2021,0,household,LP,55,F,7116,8608,no
P10054,2021,1,engineering,LP,19,F,9320,11718,no
P10055,2021,1,engineering,NW,54,M,13825,,no
P10056,2021,1,household,GP,62,M,25820,29919,yes
P10057,2021,2,marine,NC,53,F,9896,12326,no
P10058,2021,2,motor,FS,67,F,14018,15427,no
P10059,2021,2,household,GP,20,F,61317,76669,no
P10060,2021,3,marine,NC,54,M,20237,26298,no
P10061,2021,3,engineering,NW,59,M,13048,16215,no
P10062,2022,0,engineering,EC,52,F,3126,3660,no
P10063,2022,0,motor,MP,51,M,5075,6400,yes
P10064,2022,0,engineering,NW,70,M,25595,29889,no
P10065,2022,0,liability,MP,44,F,10371,11301,no
P10066,2022,1,liability,MP,67,M,7293,8770,yes
P10067,2022,1,household,LP,57,M,14319,15783,no
P10068,2022,2,marine,MP,52,M,18437,22335,yes
P10069,2022,2,engineering,LP,59,F,23585,25517,yes
P10070,2022,2,marine,MP,63,F,16626,19748,no
P10071,2023,0,liability,FS,24,F,29217,34166,yes
P10072,2023,0,liability,NC,35,M,38603,46483,yes
P10073,2023,0,marine,KZN,71,F,3603,,yes
P10074,2023,1,marine,MP,76,F,32576,39328,yes
P10075,2023,1,marine,FS,40,F,65132,81577,no
P10076,2023,1,household,NW,37,F,18194,22424,no
P10077,2024,0,marine,KZN,47,M,11420,13942,no
P10078,2024,0,liability,FS,59,F,15356,17191,yes
