date,t2m_era5,t2m_merra2,t2m_jra3q,pr_era5,pr_merra2,pr_jra3q
2024-01-01,23.4,23.1,23.7,0,0.1,0
2024-01-02,24.8,24.3,25,0,0,0
2024-01-03,26.1,25.7,26.4,0.2,0,0.1
2024-01-04,27.5,27,27.9,1.4,0.7,2.1
2024-01-05,28.8,28.4,29.3,8.7,4.2,11.3
2024-01-06,26.4,26,26.7,15.2,9.8,18.5
2024-01-07,25,24.6,25.3,3.4,1.9,5
2024-01-08,27.2,26.7,27.6,0,0,0
2024-01-09,29.5,29,30.1,0,0,0
2024-01-10,31.2,30.6,31.8,0,0,0
2024-01-11,32.4,31.9,33,0,0,0
2024-01-12,33.8,33.1,34.4,0,0,0
2024-01-13,35.1,34.5,35.6,0,0,0
2024-01-14,35.9,35.2,36.3,0,0,0
2024-01-15,34.6,34,34.9,2.1,0.8,3.5
2024-01-16,30.2,29.7,30.5,12.8,7.4,14.9
2024-01-17,27.5,27,27.8,18.6,12.3,22.1
2024-01-18,25.4,24.9,25.7,9.7,5.8,11.5
2024-01-19,26.8,26.3,27.1,4.3,2.6,5.2
2024-01-20,28.6,28.1,29,1.1,0.5,1.4
2024-01-21,30.4,29.9,30.9,0,0,0
2024-01-22,31.8,31.3,32.3,0,0,0
2024-01-23,32.7,32.1,33.2,0.3,0.1,0.5
2024-01-24,29.1,28.5,29.4,14.5,9.1,17.2
2024-01-25,26.3,25.8,26.6,22.4,15.6,26
2024-01-26,24.7,24.2,25,8.9,5.4,10.3
2024-01-27,26.5,26,26.8,2.7,1.3,3.4
2024-01-28,28.2,27.7,28.6,0.5,0.2,0.7
2024-01-29,29.9,29.4,30.3,0,0,0
2024-01-30,31.4,30.8,31.8,0,0,0
