entity,alpha_m,alpha_t,alpha_r,w_f,w_rel,w_s,init_family,init_religion,shock,horizon
rural village,0.3,0.3,0.4,0.5,0.3,0.2,0.8,0.7,severe,30
urban district,0.5,0.3,0.2,0.3,0.2,0.5,0.5,0.4,moderate,30
coastal town,0.4,0.3,0.3,0.4,0.3,0.3,0.65,0.55,severe,30
term life book,0.55,0.2,0.25,0.3,0.2,0.5,0.55,0.45,moderate,20
annuity book,0.45,0.25,0.3,0.35,0.25,0.4,0.6,0.5,moderate,40
DB pension scheme,0.35,0.25,0.4,0.45,0.25,0.3,0.7,0.5,moderate,30
GI reserves · long-tail,0.6,0.3,0.1,0.2,0.1,0.7,0.4,0.3,moderate,15
GI reserves · short-tail,0.65,0.25,0.1,0.2,0.1,0.7,0.45,0.3,mild,5
health LTH book,0.5,0.3,0.2,0.3,0.3,0.4,0.55,0.45,severe,20
agrarian community · drought,0.25,0.3,0.45,0.55,0.3,0.15,0.85,0.75,severe,30
post-conflict town,0.3,0.3,0.4,0.45,0.25,0.3,0.55,0.45,severe,30
stable urban hub,0.5,0.3,0.2,0.25,0.15,0.6,0.6,0.45,mild,30
