mortality_trend,cohort_effect,smoking_index,crude_rate,premium_band,postcode_score,tenure_months,marketing_segment,contact_recency,web_logins,paperless_score,call_centre_index,app_sessions,survey_score,annuity_60,life_exp_60,survival_to_80
2.7594,-0.0681,-0.9459,0.391,-1.1,7.339,-5.829,-9.734,-12.234,12.358,9.617,9.022,-3.933,0.654,3.2783,1.1098,-1.3589
0.854,0.5958,-1.1627,6.486,1.992,-10.12,9.292,-2.538,-7.373,10.641,-1.5,-9.826,11.362,6.136,1.6745,2.2153,-0.9814
0.7202,0.149,0.9941,-1.226,5.06,-4.334,-6.118,5.929,3.836,-6.506,-5.903,1.008,24.186,1.366,1.0539,-0.3828,1.4747
1.5941,0.314,0.4683,9.925,-8.514,-12.152,5.489,-0.386,7.3,-0.677,-2.411,-11.853,3.286,-13.723,2.2663,-0.0201,0.8178
1.8795,1.8513,1.5065,0.865,-12.367,-1.045,-7.209,-1.336,-5.248,-4.572,-2.272,1.499,-0.248,2.305,4.7545,1.4536,1.8702
0.5883,1.3291,-1.0051,-7.16,9.357,8.42,-4.706,-3.325,-2.872,3.833,-5.298,4.918,-3.114,-7.119,2.0346,2.6342,-0.8149
0.0835,0.5961,1.708,-7.718,-2.488,-4.223,-4.63,-1.121,-4.824,-2.725,-9.23,6.657,1.417,-3.931,0.5565,0.2367,1.9729
-1.5969,-0.1761,-0.3387,2.137,4.678,0.249,14.767,-0.458,-0.629,-1.032,-18.057,1.415,-13.027,-1.984,-2.0374,0.0905,-2.305
0.2635,-0.552,0.5893,-1.889,-0.758,-2.912,9.965,16.878,-0.334,8.284,-8.239,2.96,2.967,3.807,-0.1493,-0.8465,0.7957
-0.2927,-1.8683,-1.8828,2.275,-16.696,10.589,-0.465,-3.227,3.125,3.32,-1.506,-2.799,-2.554,-10.072,-1.6989,1.1768,-2.3201
-0.3153,-0.1278,-1.0645,2.74,-15.399,-4.781,6.826,9.936,-6.571,-2.762,1.639,-5.561,-13.811,8.451,-0.4695,1.2902,-1.3992
-0.754,0.1563,-3.1502,-1.715,8.313,-11.878,-2.111,-11.296,-15.796,-4.736,-0.279,1.426,0.15,-5.93,-0.8335,6.956,-4.1507
-0.6204,-0.0609,0.031,2.16,-6.066,-0.663,-6.874,-4.109,9.304,11.318,10.107,-1.427,-6.916,26.161,-0.736,-0.1185,-0.5202
-0.7466,-0.7095,-0.5679,0.119,-15.101,1.072,-6.844,-8.769,2.248,-1.051,4.33,3.827,-10.323,-14.93,-1.2482,-0.154,-1.331
-2.3238,0.4765,-0.2152,0.821,7.863,1.521,-0.984,-2.876,3.479,0.887,-16.795,0.531,-5.192,-1.102,-2.8437,0.7353,-3.5634
-0.8123,0.2347,0.1392,5.288,-3.412,2.376,9.931,-5.411,-2.09,9.143,-3.533,-0.021,-1.373,3.37,-0.8217,0.1243,-0.617
-0.708,1.2272,0.0814,0.432,-8.332,-7.391,-5.516,3.86,9.3,7.401,-7.615,4.289,8.412,-7.694,-0.0444,1.0902,-0.5348
0.5973,0.8725,-1.5625,-2.923,5.019,-16.856,6.537,-3.942,-5.927,-7.768,-6.174,3.367,11.9,-2.35,1.584,3.283,-1.3705
-0.582,0.1159,0.4004,1.828,-5.975,1.739,-3.475,4.966,1.215,-11.276,3.918,16.234,9.979,4.824,-0.6524,-0.2221,-0.1547
1.3664,-1.4513,-1.0959,1.672,16.247,-1.233,-3.929,4.818,-2.615,-13.366,18.802,4.878,-12.695,12.388,-0.1365,0.0121,-0.8646
1.1265,0.6196,0.5078,3.356,1.73,8.677,7.733,9.77,6.548,7.456,-1.773,25.733,9.525,-4.242,2.0454,0.2425,0.9226
1.1988,-1.1067,-0.007,-0.705,4.093,-6.309,-4.421,-4.685,8.122,10.883,1.554,5.196,-4.972,6.586,0.2416,-1.1037,0.3676
-0.171,-0.9525,1.6196,0.922,-5.185,2.988,0.713,-4.355,0.227,-5.422,12.222,1.634,-10.783,-0.565,-0.9675,-1.3487,1.6526
